# roll pitch yaw tx ty tz
-0.144585 -0.505927 0.109713 -0.040441 -0.116720 0.404734
-0.145855 -0.512658 0.112870 -0.039161 -0.117400 0.405595
-0.147599 -0.519245 0.116212 -0.037918 -0.117853 0.406326
-0.149349 -0.524898 0.119333 -0.037200 -0.118255 0.407027
-0.151445 -0.532026 0.122941 -0.036898 -0.118609 0.408105
-0.153377 -0.538814 0.126186 -0.036471 -0.118793 0.409100
-0.155751 -0.545988 0.129774 -0.035950 -0.118999 0.410226
-0.157625 -0.553270 0.133079 -0.035269 -0.119157 0.411382
-0.159693 -0.560337 0.136448 -0.034681 -0.119297 0.412955
-0.161516 -0.567312 0.139784 -0.034143 -0.119293 0.414718
-0.162860 -0.574744 0.142827 -0.033417 -0.118958 0.416441
-0.165391 -0.581477 0.146517 -0.032752 -0.118549 0.418162
-0.167384 -0.588728 0.149832 -0.032045 -0.117906 0.419466
-0.170251 -0.595645 0.153573 -0.031467 -0.117436 0.420513
-0.173120 -0.603309 0.157238 -0.031151 -0.117201 0.421312
-0.174927 -0.610070 0.160465 -0.030807 -0.116856 0.421977
-0.177536 -0.617602 0.164030 -0.030619 -0.116353 0.422298
-0.179851 -0.624268 0.167269 -0.030454 -0.115868 0.422513
-0.182163 -0.631121 0.170529 -0.030332 -0.115309 0.422576
-0.184702 -0.638109 0.173801 -0.030205 -0.114835 0.422341
-0.186821 -0.644886 0.176935 -0.030128 -0.114421 0.421954
-0.188659 -0.651515 0.179826 -0.030080 -0.113836 0.421503
-0.191179 -0.658739 0.183140 -0.030162 -0.113092 0.420640
-0.193537 -0.665085 0.186248 -0.030440 -0.112198 0.419414
-0.194549 -0.671988 0.188586 -0.030813 -0.111225 0.418085
-0.198034 -0.678712 0.192110 -0.031256 -0.110273 0.416546
-0.199943 -0.684544 0.194739 -0.031651 -0.109307 0.414932
-0.201931 -0.691269 0.197547 -0.032126 -0.108281 0.412966
-0.204897 -0.698282 0.200688 -0.032830 -0.107402 0.411330
-0.206649 -0.704276 0.203093 -0.033394 -0.106614 0.409833
-0.208177 -0.710939 0.205573 -0.034110 -0.105855 0.407708
-0.210843 -0.716841 0.208305 -0.034896 -0.105194 0.405726
-0.213741 -0.721782 0.211220 -0.035542 -0.104733 0.403259
-0.215663 -0.727931 0.213913 -0.036123 -0.104294 0.400601
-0.217119 -0.734158 0.216011 -0.036442 -0.103949 0.397497
-0.220433 -0.739430 0.218923 -0.036710 -0.103767 0.394540
-0.222068 -0.745565 0.221016 -0.036799 -0.103472 0.391494
-0.223388 -0.750877 0.223004 -0.036720 -0.103208 0.388254
-0.225923 -0.755730 0.225719 -0.036707 -0.103041 0.385188
-0.227441 -0.760756 0.227550 -0.036634 -0.102867 0.381786
